OrderID,ShipmentID,ShipDate,DeliveryDays,DeliveryDate,ShippingMode,ShippingCost,DeliveryStatus
10183,SH9183,2023-01-17,6,2023-01-23,Road,221.47,Delayed
10184,SH9184,2023-03-18,4,2023-03-22,Sea,170.53,On Time
10185,SH9185,2023-04-18,6,2023-04-24,Road,346.94,Delayed
10186,SH9186,2023-05-17,4,2023-05-21,Road,270.61,On Time
10187,SH9187,2023-03-17,7,2023-03-24,Air,256.44,Delayed
10188,SH9188,2023-09-12,3,2023-09-15,Road,286.88,On Time
10189,SH9189,2023-01-19,6,2023-01-25,Sea,473.6,Delayed
10190,SH9190,2023-02-14,6,2023-02-20,Air,361.74,Delayed
10191,SH9191,2023-02-20,7,2023-02-27,Air,303.55,Delayed
10192,SH9192,2023-01-05,4,2023-01-09,Air,347.01,On Time
10193,SH9193,2023-08-21,4,2023-08-25,Air,350.21,On Time
10194,SH9194,2023-08-09,3,2023-08-12,Sea,151.35,On Time
10195,SH9195,2023-03-01,6,2023-03-07,Road,285.64,Delayed
10196,SH9196,2023-10-12,5,2023-10-17,Sea,436.73,On Time
10197,SH9197,2023-10-31,7,2023-11-07,Road,85.62,Delayed
10198,SH9198,2023-03-06,4,2023-03-10,Air,375.98,On Time
10199,SH9199,2023-03-12,4,2023-03-16,Sea,215.92,On Time
10200,SH9200,2023-11-01,3,2023-11-04,Sea,311.44,On Time
10201,SH9201,2023-05-23,6,2023-05-29,Sea,421.14,Delayed
10202,SH9202,2023-07-22,5,2023-07-27,Sea,285.0,On Time
10203,SH9203,2023-07-27,2,2023-07-29,Air,172.79,On Time
10204,SH9204,2023-08-10,5,2023-08-15,Air,386.08,On Time
10205,SH9205,2023-12-29,7,2024-01-05,Sea,361.06,Delayed
10206,SH9206,2023-09-05,5,2023-09-10,Air,109.51,On Time
10207,SH9207,2023-03-23,2,2023-03-25,Road,240.03,On Time
10208,SH9208,2023-09-09,3,2023-09-12,Air,334.81,On Time
10209,SH9209,2023-02-21,5,2023-02-26,Road,303.24,On Time
10210,SH9210,2023-10-13,7,2023-10-20,Air,392.8,Delayed
10211,SH9211,2023-12-14,5,2023-12-19,Sea,443.99,On Time
10212,SH9212,2023-07-24,4,2023-07-28,Road,184.29,On Time
10213,SH9213,2023-01-26,5,2023-01-31,Road,408.53,On Time
10214,SH9214,2023-02-11,6,2023-02-17,Sea,194.69,Delayed
10215,SH9215,2023-03-12,4,2023-03-16,Road,462.2,On Time
10216,SH9216,2023-01-06,7,2023-01-13,Sea,71.82,Delayed
10217,SH9217,2023-08-30,7,2023-09-06,Air,267.53,Delayed
10218,SH9218,2023-12-29,2,2023-12-31,Air,358.46,On Time
10219,SH9219,2023-02-02,5,2023-02-07,Air,372.32,On Time
10220,SH9220,2023-04-28,3,2023-05-01,Road,143.36,On Time
10221,SH9221,2023-07-16,4,2023-07-20,Sea,250.09,On Time
10222,SH9222,2023-04-02,4,2023-04-06,Sea,334.71,On Time
10223,SH9223,2023-06-28,4,2023-07-02,Road,332.07,On Time
10224,SH9224,2023-05-26,3,2023-05-29,Sea,206.7,On Time
10225,SH9225,2023-07-22,2,2023-07-24,Sea,464.19,On Time
10226,SH9226,2023-11-20,7,2023-11-27,Air,106.96,Delayed
10227,SH9227,2023-12-12,2,2023-12-14,Road,350.79,On Time
10228,SH9228,2023-07-23,2,2023-07-25,Air,295.37,On Time
10229,SH9229,2023-01-25,4,2023-01-29,Sea,101.83,On Time
10230,SH9230,2023-12-22,6,2023-12-28,Road,78.98,Delayed
10231,SH9231,2023-04-16,4,2023-04-20,Sea,425.54,On Time
10232,SH9232,2023-10-04,2,2023-10-06,Sea,245.36,On Time
10233,SH9233,2023-11-19,2,2023-11-21,Air,80.2,On Time
10234,SH9234,2023-03-02,4,2023-03-06,Air,467.49,On Time
10235,SH9235,2023-01-17,5,2023-01-22,Sea,473.05,On Time
10236,SH9236,2023-03-28,4,2023-04-01,Road,216.07,On Time
10237,SH9237,2023-07-18,4,2023-07-22,Air,417.13,On Time
10238,SH9238,2023-08-24,6,2023-08-30,Road,262.52,Delayed
10239,SH9239,2023-12-11,2,2023-12-13,Sea,403.74,On Time
10240,SH9240,2023-09-21,7,2023-09-28,Road,329.59,Delayed
10241,SH9241,2023-01-08,7,2023-01-15,Air,341.03,Delayed
10242,SH9242,2023-10-17,2,2023-10-19,Sea,316.55,On Time
10243,SH9243,2023-02-28,7,2023-03-07,Air,316.52,Delayed
10244,SH9244,2023-05-26,5,2023-05-31,Road,186.6,On Time
10245,SH9245,2023-02-13,5,2023-02-18,Air,340.24,On Time
10246,SH9246,2023-12-18,6,2023-12-24,Road,442.31,Delayed
10247,SH9247,2023-07-21,4,2023-07-25,Air,150.15,On Time
10248,SH9248,2023-06-25,2,2023-06-27,Road,115.79,On Time
10249,SH9249,2023-12-02,5,2023-12-07,Air,454.13,On Time
10250,SH9250,2023-04-06,3,2023-04-09,Air,121.97,On Time
10251,SH9251,2023-08-06,2,2023-08-08,Air,490.89,On Time
10252,SH9252,2023-04-23,7,2023-04-30,Road,330.21,Delayed
10253,SH9253,2023-12-21,3,2023-12-24,Road,286.14,On Time
10254,SH9254,2023-06-30,5,2023-07-05,Sea,367.2,On Time
10255,SH9255,2023-06-14,6,2023-06-20,Sea,175.02,Delayed
10256,SH9256,2023-05-01,4,2023-05-05,Road,440.92,On Time
10257,SH9257,2023-11-23,5,2023-11-28,Sea,424.77,On Time
10258,SH9258,2023-08-18,7,2023-08-25,Air,162.89,Delayed
10259,SH9259,2023-05-26,3,2023-05-29,Sea,147.04,On Time
10260,SH9260,2023-11-06,5,2023-11-11,Road,134.45,On Time
10261,SH9261,2023-05-23,3,2023-05-26,Road,136.11,On Time
10262,SH9262,2023-05-04,6,2023-05-10,Sea,94.72,Delayed
10263,SH9263,2023-10-13,4,2023-10-17,Road,250.19,On Time
10264,SH9264,2023-08-15,6,2023-08-21,Sea,73.19,Delayed
10265,SH9265,2023-12-27,7,2024-01-03,Air,60.84,Delayed
10266,SH9266,2023-09-16,6,2023-09-22,Sea,69.51,Delayed
10267,SH9267,2023-10-13,6,2023-10-19,Air,149.72,Delayed
10268,SH9268,2023-06-16,2,2023-06-18,Sea,219.48,On Time
10269,SH9269,2023-08-10,6,2023-08-16,Sea,473.15,Delayed
10270,SH9270,2023-03-12,3,2023-03-15,Road,94.67,On Time
10271,SH9271,2023-11-07,3,2023-11-10,Road,177.17,On Time
10272,SH9272,2023-08-13,6,2023-08-19,Air,228.26,Delayed
10273,SH9273,2023-05-05,7,2023-05-12,Road,108.44,Delayed
10274,SH9274,2023-12-12,3,2023-12-15,Road,233.26,On Time
10275,SH9275,2023-12-07,2,2023-12-09,Sea,240.07,On Time
10276,SH9276,2023-01-13,7,2023-01-20,Sea,457.86,Delayed
10277,SH9277,2023-02-23,3,2023-02-26,Sea,407.8,On Time
10278,SH9278,2023-05-10,2,2023-05-12,Road,218.28,On Time
10279,SH9279,2023-05-16,3,2023-05-19,Sea,205.52,On Time
10280,SH9280,2023-05-26,2,2023-05-28,Road,345.8,On Time
10281,SH9281,2023-05-08,4,2023-05-12,Sea,71.89,On Time
10282,SH9282,2023-08-16,4,2023-08-20,Air,259.43,On Time
10283,SH9283,2023-03-14,7,2023-03-21,Air,295.13,Delayed
10284,SH9284,2023-10-02,3,2023-10-05,Sea,438.54,On Time
10285,SH9285,2023-07-07,4,2023-07-11,Sea,384.06,On Time
10286,SH9286,2023-01-05,7,2023-01-12,Sea,100.47,Delayed
10287,SH9287,2023-10-14,3,2023-10-17,Air,50.63,On Time
10288,SH9288,2023-01-24,5,2023-01-29,Air,239.12,On Time
10289,SH9289,2023-06-16,2,2023-06-18,Sea,56.98,On Time
10290,SH9290,2023-11-08,7,2023-11-15,Sea,363.6,Delayed
10291,SH9291,2023-12-31,4,2024-01-04,Sea,223.76,On Time
10292,SH9292,2023-09-04,3,2023-09-07,Sea,442.49,On Time
10293,SH9293,2023-08-23,5,2023-08-28,Sea,485.74,On Time
10294,SH9294,2023-11-22,2,2023-11-24,Sea,132.35,On Time
10295,SH9295,2023-06-08,6,2023-06-14,Sea,292.33,Delayed
10296,SH9296,2023-06-02,7,2023-06-09,Sea,463.23,Delayed
10297,SH9297,2023-08-02,2,2023-08-04,Sea,247.09,On Time
10298,SH9298,2023-08-08,6,2023-08-14,Air,53.25,Delayed
10299,SH9299,2023-09-05,4,2023-09-09,Road,197.52,On Time
10300,SH9300,2023-10-31,3,2023-11-03,Air,164.24,On Time
10301,SH9301,2023-10-04,3,2023-10-07,Road,118.17,On Time
10302,SH9302,2023-06-01,6,2023-06-07,Air,243.57,Delayed
10303,SH9303,2023-07-17,7,2023-07-24,Road,449.69,Delayed
10304,SH9304,2023-01-23,6,2023-01-29,Air,348.31,Delayed
10305,SH9305,2023-09-16,5,2023-09-21,Road,383.97,On Time
10306,SH9306,2023-01-19,6,2023-01-25,Air,327.19,Delayed
10307,SH9307,2023-02-21,5,2023-02-26,Road,270.11,On Time
10308,SH9308,2023-09-28,2,2023-09-30,Sea,486.53,On Time
10309,SH9309,2023-11-13,6,2023-11-19,Sea,200.1,Delayed
10310,SH9310,2023-03-25,3,2023-03-28,Road,53.4,On Time
10311,SH9311,2023-11-04,6,2023-11-10,Air,393.8,Delayed
10312,SH9312,2023-05-05,5,2023-05-10,Air,292.31,On Time
10313,SH9313,2023-10-18,2,2023-10-20,Road,457.52,On Time
10314,SH9314,2023-09-21,5,2023-09-26,Air,422.75,On Time
10315,SH9315,2024-01-02,4,2024-01-06,Road,357.37,On Time
10316,SH9316,2023-02-20,4,2023-02-24,Road,175.34,On Time
10317,SH9317,2023-01-07,6,2023-01-13,Road,92.69,Delayed
10318,SH9318,2023-04-29,5,2023-05-04,Road,264.87,On Time
10319,SH9319,2023-04-29,6,2023-05-05,Road,464.86,Delayed
10320,SH9320,2023-09-21,3,2023-09-24,Road,420.48,On Time
10321,SH9321,2023-12-20,4,2023-12-24,Road,472.93,On Time
10322,SH9322,2023-05-10,4,2023-05-14,Sea,111.88,On Time
10323,SH9323,2023-06-21,5,2023-06-26,Road,252.28,On Time
10324,SH9324,2023-01-28,6,2023-02-03,Air,357.12,Delayed
10325,SH9325,2023-07-19,4,2023-07-23,Air,492.64,On Time
10326,SH9326,2023-11-12,6,2023-11-18,Road,382.75,Delayed
10327,SH9327,2023-12-12,2,2023-12-14,Sea,347.9,On Time
10328,SH9328,2023-04-08,6,2023-04-14,Air,206.42,Delayed
10329,SH9329,2023-01-19,4,2023-01-23,Road,110.18,On Time
10330,SH9330,2023-06-23,2,2023-06-25,Air,449.67,On Time
10331,SH9331,2023-04-13,3,2023-04-16,Road,452.57,On Time
10332,SH9332,2023-07-07,2,2023-07-09,Road,100.84,On Time
10333,SH9333,2023-07-04,6,2023-07-10,Air,70.15,Delayed
10334,SH9334,2023-08-05,7,2023-08-12,Sea,160.49,Delayed
10335,SH9335,2023-09-09,5,2023-09-14,Sea,185.41,On Time
10336,SH9336,2023-08-06,2,2023-08-08,Road,456.72,On Time
10337,SH9337,2023-01-31,6,2023-02-06,Road,274.63,Delayed
10338,SH9338,2023-04-13,7,2023-04-20,Road,158.8,Delayed
10339,SH9339,2023-05-04,2,2023-05-06,Road,348.85,On Time
10340,SH9340,2023-02-24,3,2023-02-27,Road,417.95,On Time
10341,SH9341,2023-10-11,7,2023-10-18,Sea,75.79,Delayed
10342,SH9342,2023-04-14,7,2023-04-21,Sea,330.83,Delayed
10343,SH9343,2023-04-29,7,2023-05-06,Road,433.16,Delayed
10344,SH9344,2023-04-15,6,2023-04-21,Sea,445.37,Delayed
10345,SH9345,2023-02-16,5,2023-02-21,Sea,102.59,On Time
10346,SH9346,2023-04-26,5,2023-05-01,Sea,135.41,On Time
10347,SH9347,2023-12-10,5,2023-12-15,Air,216.63,On Time
10348,SH9348,2023-02-02,2,2023-02-04,Road,203.4,On Time
10349,SH9349,2023-06-15,7,2023-06-22,Road,420.71,Delayed
10350,SH9350,2023-07-09,7,2023-07-16,Road,200.0,Delayed
10351,SH9351,2023-10-21,4,2023-10-25,Air,268.11,On Time
10352,SH9352,2023-07-16,3,2023-07-19,Sea,179.05,On Time
10353,SH9353,2023-10-20,2,2023-10-22,Road,191.35,On Time
10354,SH9354,2023-09-20,6,2023-09-26,Sea,372.43,Delayed
10355,SH9355,2023-07-27,6,2023-08-02,Road,269.89,Delayed
10356,SH9356,2023-02-23,6,2023-03-01,Road,119.36,Delayed
10357,SH9357,2023-02-19,5,2023-02-24,Road,399.71,On Time
10358,SH9358,2023-01-08,3,2023-01-11,Sea,198.85,On Time
10359,SH9359,2023-08-14,2,2023-08-16,Road,263.86,On Time
10360,SH9360,2023-01-24,3,2023-01-27,Sea,244.95,On Time
10361,SH9361,2023-05-26,6,2023-06-01,Air,318.11,Delayed
10362,SH9362,2023-04-22,5,2023-04-27,Sea,209.92,On Time
10363,SH9363,2023-08-02,2,2023-08-04,Road,393.46,On Time
10364,SH9364,2023-10-29,3,2023-11-01,Road,441.77,On Time
10365,SH9365,2023-02-12,3,2023-02-15,Sea,146.3,On Time
10366,SH9366,2023-06-22,6,2023-06-28,Sea,214.29,Delayed
10367,SH9367,2023-07-06,3,2023-07-09,Air,244.34,On Time
10368,SH9368,2023-08-04,2,2023-08-06,Road,335.7,On Time
10369,SH9369,2023-11-04,3,2023-11-07,Air,311.37,On Time
10370,SH9370,2023-02-23,2,2023-02-25,Air,272.24,On Time
10371,SH9371,2023-03-12,3,2023-03-15,Sea,294.75,On Time
10372,SH9372,2023-07-16,7,2023-07-23,Air,118.54,Delayed
10373,SH9373,2023-06-02,6,2023-06-08,Sea,453.79,Delayed
10374,SH9374,2023-04-21,2,2023-04-23,Air,145.6,On Time
10375,SH9375,2023-04-29,2,2023-05-01,Air,242.8,On Time
10376,SH9376,2024-01-01,2,2024-01-03,Road,126.99,On Time
10377,SH9377,2023-04-06,6,2023-04-12,Sea,438.84,Delayed
10378,SH9378,2023-09-15,4,2023-09-19,Road,456.9,On Time
10379,SH9379,2023-02-15,6,2023-02-21,Air,75.76,Delayed
10380,SH9380,2023-03-09,3,2023-03-12,Sea,326.97,On Time
10381,SH9381,2023-06-06,5,2023-06-11,Air,326.83,On Time
10382,SH9382,2023-11-20,2,2023-11-22,Sea,137.06,On Time
10383,SH9383,2023-07-27,7,2023-08-03,Road,438.43,Delayed
10384,SH9384,2023-10-03,5,2023-10-08,Road,235.64,On Time
10385,SH9385,2023-06-05,2,2023-06-07,Air,386.45,On Time
10386,SH9386,2023-06-29,5,2023-07-04,Sea,355.18,On Time
10387,SH9387,2023-03-03,3,2023-03-06,Road,213.08,On Time
10388,SH9388,2023-03-16,6,2023-03-22,Air,476.29,Delayed
